Date,Close,High,Low,Open,Volume
2024-06-21,22.5,22.5,21.25,22.5,2614
2024-06-24,22.5,23.75,21.25,22.5,8978
2024-06-25,22.5,23.75,21.25,22.5,8416
2024-06-26,21.25,22.5,21.25,22.5,2056
2024-06-27,22.5,22.5,21.25,21.25,3824
2024-06-28,21.25,23.75,21.25,22.5,5477
2024-07-01,22.5,23.75,21.25,22.5,10406
2024-07-02,22.5,23.75,21.25,22.5,5166
2024-07-03,22.5,23.75,21.25,22.5,4843
2024-07-04,23.75,23.75,21.25,22.5,8555
2024-07-05,22.5,23.75,22.5,22.5,4495
2024-07-08,22.5,23.75,21.25,23.75,6932
2024-07-09,22.5,23.75,21.25,22.5,7408
2024-07-10,22.5,23.75,21.25,23.75,14495
2024-07-11,28.75,32.5,21.25,22.5,227727
2024-07-12,25.0,31.25,25.0,28.75,110754
2024-07-15,23.75,26.25,22.5,25.0,43290
2024-07-16,23.75,25.0,23.75,23.75,16904
2024-07-17,23.75,25.0,22.5,23.75,12460
2024-07-18,23.75,23.75,22.5,23.75,4978
2024-07-19,22.5,23.75,22.5,23.75,9434
2024-07-22,22.5,23.75,21.25,23.75,25488
2024-07-23,22.5,23.75,21.25,22.5,18900
2024-07-24,22.5,23.75,21.25,22.5,29511
2024-07-25,22.5,23.75,22.5,22.5,8128
2024-07-26,22.5,23.75,21.25,22.5,16364
2024-07-29,22.5,23.75,21.25,22.5,7751
2024-07-30,22.5,23.75,21.25,22.5,8648
2024-07-31,22.5,23.75,21.25,22.5,14393
2024-08-01,23.75,28.75,22.5,22.5,112156
2024-08-02,22.5,25.0,22.5,23.75,19520
2024-08-05,22.5,22.5,20.0,21.25,82728
2024-08-06,22.5,25.0,21.25,22.5,61429
2024-08-07,22.5,25.0,22.5,23.75,21235
2024-08-08,23.75,23.75,22.5,23.75,9904
2024-08-09,23.75,25.0,22.5,23.75,32004
2024-08-12,23.75,26.25,22.5,25.0,155712
2024-08-13,26.25,27.5,22.5,23.75,465532
